id,text,label_list,PRODUCT_POSITIVE,PRODUCT_NEGATIVE,PRODUCT_NEUTRAL,PRICE_POSITIVE,PRICE_NEGATIVE,PRICE_NEUTRAL,PLACE_POSITIVE,PLACE_NEGATIVE,PLACE_NEUTRAL,PROMOTION_POSITIVE,PROMOTION_NEGATIVE,PROMOTION_NEUTRAL,OUT_OF_TOPIC
15,sangat adem dan nyaman,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
16,lengkap pilihannya luas tempatnya good,PRODUCT_POSITIVE|PLACE_POSITIVE,1,0,0,0,0,0,1,0,0,0,0,0,0
17,produk sesuai deskripsi potongan sesuai jahitan ok kain agak menerawang terimakasih,PRODUCT_POSITIVE|PRODUCT_NEGATIVE,1,1,0,0,0,0,0,0,0,0,0,0,0
18,ukurannya pas bagus next order lagi mantap,PRODUCT_POSITIVE|PLACE_POSITIVE,1,0,0,0,0,0,1,0,0,0,0,0,0
19,kualitas produk bagus lumayan josjis,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
20,pengalaman belanja menyenangkan bajunya kekinian dan recommended,PRODUCT_POSITIVE|PLACE_POSITIVE,1,0,0,0,0,0,1,0,0,0,0,0,0
21,beberapa kali beli disini modelnya tidak pasaran pertama tau dari bazar lalu sekarang sudah buka store di jogja,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
22,pelayanannya ramah harga jilbab sangat murah,PRICE_POSITIVE|PLACE_POSITIVE,0,0,0,1,0,0,1,0,0,0,0,0,0
23,outfit bagus desain timeless warna netral harga terjangkau,PRODUCT_POSITIVE|PRICE_POSITIVE,1,0,0,1,0,0,0,0,0,0,0,0,0
24,great place,PLACE_POSITIVE,0,0,0,0,0,0,1,0,0,0,0,0,0
25,kualitas produk bahan tebal pokonya mantul dah tapi maap aku salah ukuran ini kebesaran,PRODUCT_POSITIVE|PRODUCT_NEGATIVE,1,1,0,0,0,0,0,0,0,0,0,0,0
26,gak bisa qris di bawah 50 rb padahal mau bayarin ibu karena gak nemu tas jadi beli ikat pinggang cewek,PLACE_NEGATIVE,0,0,0,0,0,0,0,1,0,0,0,0,0
27,barang bagus lucu harga terjangkau,PRODUCT_POSITIVE|PRICE_POSITIVE,1,0,0,1,0,0,0,0,0,0,0,0,0
28,koleksinya keren banyak koleksi baru,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
29,bagus adem keren banget,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
30,mantap kemeja nya cocok di badan sesuai ukuran,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
31,baguss bangett pokoknya rekomendasi beli di sini bgn nya baguss di aku pass tinggi 171 ukuran 30,PRODUCT_POSITIVE|PLACE_POSITIVE,1,0,0,0,0,0,1,0,0,0,0,0,0
32,pengiriman cepat packing rapi enak dipakai adem,OUT_OF_TOPIC,0,0,0,0,0,0,0,0,0,0,0,0,1
33,nice and affordable,PRICE_POSITIVE,0,0,0,1,0,0,0,0,0,0,0,0,0
34,semoga awet dan bisa dipakai setiap hari,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
35,bagus murce harganya,PRODUCT_POSITIVE|PRICE_POSITIVE,1,0,0,1,0,0,0,0,0,0,0,0,0
36,koleksi bajunya lucu lucu saya suka,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
37,anter anak kesini buat cari baju jahitan rapi harga murah kualitas fo top kualiti,PRODUCT_POSITIVE|PRICE_POSITIVE,1,0,0,1,0,0,0,0,0,0,0,0,0
38,the best bahan nya cocok buat sehari hari atau otw,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
39,kualitas produk bahan nyaman dipakai kalau bisa untuk size lebih dikasih tau misalkan kaya xxl dari 36 berapa gitu,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
40,staff ramah banget diarahin tempatnya barang lengkap sih toko bersih dan wangi ada free minum kalo cape muter muter toko,PRODUCT_POSITIVE|PLACE_POSITIVE,1,0,0,0,0,0,1,0,0,0,0,0,0
41,untuk kualitasnya bagus sekali tapi syg salah ambil uk,PRODUCT_POSITIVE|PRODUCT_NEGATIVE,1,1,0,0,0,0,0,0,0,0,0,0,0
42,tempatnya nyaman dekat dr rumah pelayan nya ramah suka,PLACE_POSITIVE,0,0,0,0,0,0,1,0,0,0,0,0,0
43,brng dah sampe bgus bngt lmbut ccok lah,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
44,front staff tidak ramah padahal sudah membeli pengalaman kurang menyenangkan,PLACE_NEGATIVE,0,0,0,0,0,0,0,1,0,0,0,0,0
45,baguss banget bahannya saya sukaaa,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
46,nyaman keren dan pas saat dipakai,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
47,baru pertama kali ke hos of shopaholic wirobrajan baju nya bagus bagus pelayanan nya juga ramah helpfull banget kakak kakak nya harganya juga sangat sangat terjangkau untuk kantong mahasiswa,PRODUCT_POSITIVE|PRICE_POSITIVE|PLACE_POSITIVE,1,0,0,1,0,0,1,0,0,0,0,0,0
48,good dress,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
49,sesuai nyaman untuk bb 45 i saranin pilih m,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
50,bahannya bagus dipakai juga nyaman,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
51,sukaa banget belanja disini karna banyak pilihannya dan lengkap tokonya juga semakin besar dan aesthetic sukses buat nadiraa,PRODUCT_POSITIVE|PLACE_POSITIVE,1,0,0,0,0,0,1,0,0,0,0,0,0
52,koleksinya lengkap dan terjangkau,PRODUCT_POSITIVE|PRICE_POSITIVE,1,0,0,1,0,0,0,0,0,0,0,0,0
53,bagus sangat memuaskan bagusssss,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
54,pelayanan baik staff ramah barang up to date,PRODUCT_POSITIVE|PLACE_POSITIVE,1,0,0,0,0,0,1,0,0,0,0,0,0
55,lumayan lengkap untuk kebutuhan ruangan dingin juga pelayanan baik mantap,PRODUCT_POSITIVE|PLACE_POSITIVE,1,0,0,0,0,0,1,0,0,0,0,0,0
56,kualitas produk sangat rare,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
57,bajunya bagus harga terjangkau,PRODUCT_POSITIVE|PRICE_POSITIVE,1,0,0,1,0,0,0,0,0,0,0,0,0
58,kurng bgus tipis warna hitamnya tdk pekat,PRODUCT_NEGATIVE,0,1,0,0,0,0,0,0,0,0,0,0,0
59,kakak kakak zanonya ramah ramah bgtt gercep bgtt dimintain tlg cari baju mukanya ga jutek jugaa hihii sukakk,PLACE_POSITIVE,0,0,0,0,0,0,1,0,0,0,0,0,0
60,kain nya enak design unik,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
61,model baju simple elegan dan lengkap,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
62,barang jelek tidak sesuai yg di gambar sangat mengecewakan dengan harga segitu,PRODUCT_NEGATIVE|PRICE_NEGATIVE,0,1,0,0,1,0,0,0,0,0,0,0,0
63,bagus banget untuk harga segitu bestt mau beli lagiiii,PRODUCT_POSITIVE|PRICE_POSITIVE,1,0,0,1,0,0,0,0,0,0,0,0,0
64,pelayanannya ramah tokonya aesthetic,PLACE_POSITIVE,0,0,0,0,0,0,1,0,0,0,0,0,0
65,mamtappp cocokk jadi ganteng gua mke ini,PRODUCT_POSITIVE|OUT_OF_TOPIC,1,0,0,0,0,0,0,0,0,0,0,0,1
66,saya pesen ukuran m ko besar kak tpi bahan bagus cuma kebesaran aja baju nya kaya ukuran xl,OUT_OF_TOPIC,0,0,0,0,0,0,0,0,0,0,0,0,1
67,produk screamous sangat bagus pokonya gk di ragukan mantap broo,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
68,tempatnya bagusss bajunya jugaaa,PRODUCT_POSITIVE|PLACE_POSITIVE,1,0,0,0,0,0,1,0,0,0,0,0,0
69,toko fasion yang mungkin bakalan ramai dan hits nantinya letaknya di jakal barangnya terjangkau tempat luas dengan 3 lantai masing lantai berbeda lantai 1 untuk aksesoris dll lantai 2 pakaian wanita dan lantai 3 untuk laki rekomended sekali parkir juga tersedia luas,PRICE_POSITIVE|PLACE_POSITIVE,0,0,0,1,0,0,1,0,0,0,0,0,0
70,keren puas dengan onoma udah beli 3 warna yang berbeda2 trimakasih onoma,PLACE_POSITIVE,0,0,0,0,0,0,1,0,0,0,0,0,0
71,tipis bet bjir kualitas produk tipis bet bjir,PRODUCT_NEGATIVE,0,1,0,0,0,0,0,0,0,0,0,0,0
72,tinggi badan 171 180 cm,OUT_OF_TOPIC,0,0,0,0,0,0,0,0,0,0,0,0,1
73,bajunya lucu lucu dan harganya affordable,PRODUCT_POSITIVE|PRICE_POSITIVE,1,0,0,1,0,0,0,0,0,0,0,0,0
74,tempat strategis banyak koleksi bisa coba langsung staff ramah,PRODUCT_POSITIVE|PLACE_POSITIVE,1,0,0,0,0,0,1,0,0,0,0,0,0
75,lucu lucu,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
76,bahan dan model keren,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
77,bb 83 tinggi 169 agak kebesaran,PRODUCT_NEGATIVE,0,1,0,0,0,0,0,0,0,0,0,0,0
78,aku beli via online kaka mimin gercep ramah trus kualitas baju nya oke bangettrusted deh recommended,PRODUCT_POSITIVE|PLACE_POSITIVE,1,0,0,0,0,0,1,0,0,0,0,0,0
79,sangat modiss pilihannya bagus bagus,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
80,udah langganan beli disini pelayanan mba2 nya ramah bangettt juarakk ga sengaja lihat 1 komen customer kegeeran bukannya mba2 toko nya takut kemalingan tetapi setau saya retail punya sop pegawai untuk selalu memperhatikan cust di kala butuh bantuan dan so far selama saya ke hos mba2 nya gaada lihatin seolah2 kita mau maling kok malah merasa terbantu bangett lovvv mbaa,PLACE_POSITIVE,0,0,0,0,0,0,1,0,0,0,0,0,0
81,tinggi 170 bb 65 menurut pribadi pas gak terlalu gede,OUT_OF_TOPIC,0,0,0,0,0,0,0,0,0,0,0,0,1
82,celananya bagus banget bahannya tebal tapi engga bikin gerah juga digabungin sama atasan fitoversize juga tetap cocok pokoknya terbaikk kualitas produk sangat baik,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
83,kayak bahan utk hoodie celananya tapi lumayan lah,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
84,toko fashion icon jakal menjual aksesorisbaju anakbaju wanita baju pria semua hampir ada dari yang branded smpai brand lokal juga ada pakaian nya bagus terkini sekali pokoknyaa langsung aja datang ke cabangoutlet fashion icon jogja toko nya ada 3 cabang lagi ada di daerah jakal godean dan seturan,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
85,bajunya lucu banget,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
86,oke mantap,OUT_OF_TOPIC,0,0,0,0,0,0,0,0,0,0,0,0,1
87,akhirnya buka,OUT_OF_TOPIC,0,0,0,0,0,0,0,0,0,0,0,0,1
88,bagus jaitannya rapih bahannya nymn,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
89,baju nya tipis jahitanya kurang rapi,PRODUCT_NEGATIVE,0,1,0,0,0,0,0,0,0,0,0,0,0
90,tokonya bagus bersih dan banyak baju lucu,PRODUCT_POSITIVE|PLACE_POSITIVE,1,0,0,0,0,0,1,0,0,0,0,0,0
91,bagus next order lagi kalo ada diskon hehe,PRODUCT_POSITIVE|PLACE_POSITIVE|PROMOTION_POSITIVE,1,0,0,0,0,0,1,0,0,1,0,0,0
92,bahan enak produk dan ukuran sesuai gambar,OUT_OF_TOPIC,0,0,0,0,0,0,0,0,0,0,0,0,1
93,yah lumayan lah sesuai harga semoga awet aj,PRODUCT_NEUTRAL|PRICE_POSITIVE,0,0,1,1,0,0,0,0,0,0,0,0,0
94,good stuff,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
95,produk sesuai deskripsi ukuran sesuai dengan guidelines bahan nyaman dikulit seller responsif proses cepat,PRODUCT_POSITIVE|PLACE_POSITIVE,1,0,0,0,0,0,1,0,0,0,0,0,0
96,lumayan lengkap pilihan fashionnya harga juga lumayan murah bisa buat member juga untuk dapat diskon diskon menarik terletak di utara lampu merah ngasem jl kaliurang pegawainya juga ramah ramah tempatnya dingin ada musik,PRODUCT_POSITIVE|PRICE_POSITIVE|PLACE_POSITIVE|PROMOTION_POSITIVE,1,0,0,1,0,0,1,0,0,1,0,0,0
97,suka banget produknya mantap,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
98,sangat memuaskan barang bagus banget,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
99,celananya bagus anti air dan lembut nyaman saat dipakai sangat rekomen deh pokonya buat yg lagi nyari celana panjang bahan lembut,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
100,bahan enak sesuai dgn keinginan saya,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
101,fashion store yg sangat lengkap dengan harga yg terjangkau,PRICE_POSITIVE|PLACE_POSITIVE,0,0,0,1,0,0,1,0,0,0,0,0,0
102,bajunya cantik dan harganya terjangkau storenya nyaman dan bersih,PRODUCT_POSITIVE|PRICE_POSITIVE|PLACE_POSITIVE,1,0,0,1,0,0,1,0,0,0,0,0,0
103,sukaa bangttttt kainnyaa tebaall jugaa,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
104,bagus kualitas produk nyaman,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
105,celananya bagus banget bahannya tebal tapi engga bikin gerah juga digabungin sama atasan fitoversize juga tetap cocok pokoknya terbaikk kualitas produk sangat baik,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
106,worth it store nya aesthetic,PRICE_POSITIVE|PLACE_POSITIVE,0,0,0,1,0,0,1,0,0,0,0,0,0
107,product quality bagus banget keliatan elegan,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
108,baju nyaa bagusss bgtt gaboong ga nyesel beli disinii bakal repurchase pastinyaaaa,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
109,untuk kualitasnya poll banget fittingnya juga ok,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
110,model bajunya kekinianbagusmurah juga lagi pokoknya suka bangett,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
111,bajunya bagus bagusss,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
112,bagus next order lagi kalo ada diskon hehe,PRODUCT_POSITIVE|PROMOTION_POSITIVE,1,0,0,0,0,0,0,0,0,1,0,0,0
113,agak besar ya cuttingnya tapi no froblemo untuk orang yang suka looks baju gobyoroversize,PRODUCT_NEUTRAL,0,0,1,0,0,0,0,0,0,0,0,0,0
114,kualitas produk bagustebel tpi ademsesuai gambar besok order lagi,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
115,bajunya lucu banget,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
116,sangat terjangkau buat anak kuliah,PRICE_POSITIVE,0,0,0,1,0,0,0,0,0,0,0,0,0
117,kasih dong program diskon juga buat off line nya,PROMOTION_POSITIVE,0,0,0,0,0,0,0,0,0,1,0,0,0
118,bahan adem sesuai sama gambar warna bagus,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
119,bagus banget bajunya harganya juga oke,PRODUCT_POSITIVE|PRICE_POSITIVE,1,0,0,1,0,0,0,0,0,0,0,0,0
120,terimakasih anak saya suka,OUT_OF_TOPIC,0,0,0,0,0,0,0,0,0,0,0,0,1
121,paling bener beli merk iniudh langganan,PLACE_POSITIVE,0,0,0,0,0,0,1,0,0,0,0,0,0
122,nice place to buy cute clothes,PRODUCT_POSITIVE|PLACE_POSITIVE,1,0,0,0,0,0,1,0,0,0,0,0,0
123,bajunya lucu dan affordable,PRODUCT_POSITIVE|PRICE_POSITIVE,1,0,0,1,0,0,0,0,0,0,0,0,0
124,mantap sdah 2x order disini jos,PRODUCT_POSITIVE|PLACE_POSITIVE,1,0,0,0,0,0,1,0,0,0,0,0,0
125,banyak pilihannya termasuk lengkap dan luas klo belanja disini bikin pusing karena pilihannya banyak,PRODUCT_POSITIVE|PRODUCT_NEGATIVE,1,1,0,0,0,0,0,0,0,0,0,0,0
126,recommended new store,PLACE_POSITIVE,0,0,0,0,0,0,1,0,0,0,0,0,0
127,bagus bagus tidak bisa beli satu saja,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
128,kualitas produk bagus pol gila bahannya tebel banget tp nyaman dan ga panas desainnya simpel tp oke tb 160 bb 60 ukuran s pokonya gajian berikut harus beli lagi ma,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
129,pengiriman sulawesi selatan 4 hari bajunya tebal kainnya juga oke mantap lah pokoknya,PRODUCT_POSITIVE|PLACE_POSITIVE,1,0,0,0,0,0,1,0,0,0,0,0,0
130,bajunya lucu tidak menyesal beli,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
131,bahan bagus dan keren ukuran juga pas bahan adem,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
132,sangat puas dan memuaskan,PLACE_POSITIVE,0,0,0,0,0,0,1,0,0,0,0,0,0
133,mantappp udh 2x beli produknya,PRODUCT_POSITIVE|PLACE_POSITIVE,1,0,0,0,0,0,1,0,0,0,0,0,0
134,kualitas produk bahan nyaman dipakai kalau bisa untuk size lebih dikasih tau misalkan kaya xxl dari 36 berapa gitu,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
135,pilihan bajunya bagus banget besok mau datang lagi,PRODUCT_POSITIVE|PLACE_POSITIVE,1,0,0,0,0,0,1,0,0,0,0,0,0
136,bahan dan model keren,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
137,bajunya bagus dan lucu,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
138,kainnya tebal enak dipakai nyaman banget sih kata guwa,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
139,saya pesen moss brown yang datang dark olive,PRODUCT_NEGATIVE,0,1,0,0,0,0,0,0,0,0,0,0,0
140,bagus sangat cocok untuk saya bahan nya bagus,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
141,barang di terima dengan sangat baik sesuai dengan keinginan saya menurut saya kaos yg terbaik saat yaitu onoma kualitas produk lembutadem tebal serta terbaik,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
142,keren bahan nya enak lembut mantep lah pokoknya,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
143,bagus bahannya tebel sesuai ekspektasi,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
144,kualitas produk bagus untuk harga sesuai sama kualitasnya bahan adem lumayan tebal dan agak berbuluterimakasih,PRODUCT_POSITIVE|PRICE_POSITIVE,1,0,0,1,0,0,0,0,0,0,0,0,0
145,cuttinya oke bahannya mantep pas dipakenya bakal checkout warna lain deh habis ini,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
146,store bagus rapi dan mbaknya ramah,PLACE_POSITIVE,0,0,0,0,0,0,1,0,0,0,0,0,0
147,tempat belanja favorit lengkap murah serta fasilitas pendukung seperti parkir toilet sangat memadai,PLACE_POSITIVE,0,0,0,0,0,0,1,0,0,0,0,0,0
148,product quality sesuai ekspektasi,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
149,kualitas produk bahannya adem dan jatuh bentuk di badan bukan tipe kain yang kaku jadi nyaman dipakai untuk seharihari warna pun beragam tinggal disesuaikan dengan,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
150,bahannya bagus datangnya juga cepat dan kualitasnya sangat bagus ukuran yang dikirim sesuai dengan deskripsi yang diberikan,PRODUCT_POSITIVE|PLACE_POSITIVE,1,0,0,0,0,0,1,0,0,0,0,0,0
151,kualitas produk ga ada lawan si ini emang setebal itu lembut dan ga bikin gerah,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
152,fashion korean terbaru harga terjangkau pelayanan ramah,PRODUCT_POSITIVE|PRICE_POSITIVE|PLACE_POSITIVE,1,0,0,1,0,0,1,0,0,0,0,0,0
153,keren sih harga murah tp gk murahan cutting pas bkin look jd naik level btw sya bb 80 kg tb 173 cm pke size xl,PRODUCT_POSITIVE|PRICE_POSITIVE|OUT_OF_TOPIC,1,0,0,1,0,0,0,0,0,0,0,0,1
154,kualitas produk bahan sangat berkualitas enak di pakek,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
155,gg kualitas produk gg,OUT_OF_TOPIC,0,0,0,0,0,0,0,0,0,0,0,0,1
156,pelayanan ramah,PLACE_POSITIVE,0,0,0,0,0,0,1,0,0,0,0,0,0
157,barang lucu harga terjangkau recommended,PRODUCT_POSITIVE|PRICE_POSITIVE,1,0,0,1,0,0,0,0,0,0,0,0,0
158,bajunya cakep tidak hanya hijab tapi ada juga non hijab,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
159,bagus banget barang lengkap dan staff ramah,PRODUCT_POSITIVE|PLACE_POSITIVE,1,0,0,0,0,0,1,0,0,0,0,0,0
160,lengkap ada aksesoris tas sepatu dll ada juga baju untuk pria dan wanita parkir luas lokasi strategis dan mudah dijangkau pelayanan ramah ada tiga lantai lantai pertama untuk aksesoris tas sepatu dll lantai dua digunakan untuk baju wanita dan lantai ketiga untuk baju pria akses untuk ke masingmasing lantai hanya menggunakan tangga tidak ada lift maupun eskalator,PRODUCT_POSITIVE|PLACE_POSITIVE,1,0,0,0,0,0,1,0,0,0,0,0,0
161,celana good pokonyaa bessss nexx order lagi dahh yahhh mudah mudahan awet,PRODUCT_POSITIVE|PLACE_POSITIVE,1,0,0,0,0,0,1,0,0,0,0,0,0
162,bajunya semuanya nagua2 dengan harga terjangkau pelayanan ramah,PRODUCT_POSITIVE|PRICE_POSITIVE|PLACE_POSITIVE,1,0,0,1,0,0,1,0,0,0,0,0,0
163,bajunya bagus banget,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
164,bahan tebel rekomen gas ga panas buat ngopi cakep bgtt ga norak,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
165,tempat menyenangkan untuk belanja,PLACE_POSITIVE,0,0,0,0,0,0,1,0,0,0,0,0,0
166,bajunya bagus bagus dan trendy bangettt,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
167,mantappp is the bestt,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
168,beli baju di sini cakep bgt mana murah trus bahannya enak sukakkk bgt ih,PRODUCT_POSITIVE|PRICE_POSITIVE,1,0,0,1,0,0,0,0,0,0,0,0,0
169,utk celana seharga 145 rb an kualitas nya bagus,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
